BurstID,ObsDate,MJD,DM,Width,PeakFlux,Fluence,Energy_c,Energy_w,BandWidth,Width,PeakFlux,Fluence,Energy_w
 , ,Barycentric, ,FullBand,FullBand,FullBand,FullBand,FullBand, ,LimitedBand,LimitedBand,LimitedBand,LimitedBand
 , , ,(pc/cm^3),(ms),(mJy),(Jy ms),(1e37erg),(1e37erg),(MHz),(ms),(mJy),(Jy ms),(1e37erg)
129,20210928,59484.81798,411.51,3.28,274.28,0.901,25.22,10.09,500,3.27,274.43,0.896,11.02
130,20210928,59484.81856,411.51,6.1,28.54,0.174,4.87,1.948,400,5.64,33.62,0.189,1.863
131,20210928,59484.81946,411.51,3.98,33.39,0.133,3.723,1.489,350,3.76,52.38,0.197,1.693
132,20210928,59484.81946,411.51,7.11,245.4,1.745,48.84,19.54,500,6.48,245.66,1.593,19.58
133,20210928,59484.81946,411.51,5.85,83.06,0.486,13.6,5.441,300,5.45,165,0.899,6.63
134,20210928,59484.81999,411.51,9.81,34.34,0.337,9.433,3.773,400,8.8,43.82,0.386,3.793
135,20210928,59484.82009,411.51,4.11,9.01,0.037,1.036,0.4142,150,3.58,24.67,0.088,0.3258
136,20210928,59484.82019,411.51,5.25,7.99,0.042,1.176,0.4702,300,2.77,11.2,0.031,0.2284
137,20210928,59484.82025,411.51,1.68,7.13,0.012,0.3359,0.1344,50,4.5,51.66,0.232,0.2855
138,20210928,59484.82127,411.51,2.43,11.13,0.027,0.7557,0.3023,200,2.46,17.39,0.043,0.2105
139,20210928,59484.82131,411.51,9.13,35.81,0.327,9.153,3.661,300,7.87,61,0.48,3.54
140,20210928,59484.82131,411.51,7.02,56.11,0.394,11.03,4.411,250,6.53,118.08,0.771,4.742
141,20210928,59484.82136,411.51,3.59,228.18,0.82,22.95,9.181,400,3.28,316.01,1.037,10.2
142,20210928,59484.82178,411.51,4.78,87.65,0.419,11.73,4.691,400,4.42,104.15,0.46,4.528
143,20210928,59484.82186,411.51,8.04,29.36,0.236,6.606,2.642,200,7.87,65.87,0.518,2.548
144,20210928,59484.82212,411.51,4.1,12.92,0.053,1.483,0.5934,150,3,45.27,0.136,0.5005
145,20210928,59484.82219,411.51,4.62,297.3,1.374,38.46,15.38,450,4.2,324.93,1.364,15.09
146,20210928,59484.82219,411.51,4.39,54.47,0.239,6.69,2.676,200,4.05,138.67,0.561,2.759
147,20210928,59484.82256,411.51,3.13,6.71,0.021,0.5878,0.2351,100,3.59,23.56,0.085,0.2082
148,20210928,59484.82265,411.51,7.27,55.55,0.404,11.31,4.523,300,6.43,107.01,0.688,5.072
